date,indicator_id,region_id,value
2015-01-31,ZSFH,99998,211467.877496896
2014-12-31,ZSFH,99998,212169.636397178
2014-11-30,ZSFH,99998,212978.683807203
2014-10-31,ZSFH,99998,213480.070590311
2014-09-30,ZSFH,99998,212873.258662217
2014-08-31,ZSFH,99998,211677.468023743
2014-07-31,ZSFH,99998,210212.174675789
2014-06-30,ZSFH,99998,208631.478664007
2014-05-31,ZSFH,99998,207716.347480219
2014-04-30,ZSFH,99998,206894.026380602
2014-03-31,ZSFH,99998,206683.251940941
2014-02-28,ZSFH,99998,207081.311515503
2014-01-31,ZSFH,99998,207767.766726855
2013-12-31,ZSFH,99998,209262.4609658
2013-11-30,ZSFH,99998,209889.723935768
2013-10-31,ZSFH,99998,210587.869260565
2013-09-30,ZSFH,99998,210194.611472096
2013-08-31,ZSFH,99998,209789.9135184
2013-07-31,ZSFH,99998,209353.314293021
2013-06-30,ZSFH,99998,208684.830857729
2013-05-31,ZSFH,99998,207735.326873052
2013-04-30,ZSFH,99998,206173.927278918
2013-03-31,ZSFH,99998,204663.876903233
2013-02-28,ZSFH,99998,203906.29941239
2013-01-31,ZSFH,99998,204373.767201089
2012-12-31,ZSFH,99998,205805.207597892
2012-11-30,ZSFH,99998,206744.119419955
2012-10-31,ZSFH,99998,207424.924538281
2012-09-30,ZSFH,99998,207663.904607344
2012-08-31,ZSFH,99998,207280.544243887
2012-07-31,ZSFH,99998,206469.605161837
2012-06-30,ZSFH,99998,205128.433119412
2012-05-31,ZSFH,99998,204127.159129786
2012-04-30,ZSFH,99998,202593.989936284
2012-03-31,ZSFH,99998,200884.333197278
2012-02-29,ZSFH,99998,198340.271752385
2012-01-31,ZSFH,99998,195913.204989
2011-12-31,ZSFH,99998,193960.756011317
2011-11-30,ZSFH,99998,192833.889116964
2011-10-31,ZSFH,99998,192703.332600666
2011-09-30,ZSFH,99998,193251.275188673
2011-08-31,ZSFH,99998,194268.871670681
2011-07-31,ZSFH,99998,195149.455095446
2011-06-30,ZSFH,99998,195507.256333338
2011-05-31,ZSFH,99998,195763.25035756
2011-04-30,ZSFH,99998,196076.319199399
2011-03-31,ZSFH,99998,195767.903969879
2011-02-28,ZSFH,99998,193235.692269866
2011-01-31,ZSFH,99998,190542.544995406
2010-12-31,ZSFH,99998,188707.70535212
2010-11-30,ZSFH,99998,188627.556500062
2010-10-31,ZSFH,99998,188797.65295788
2010-09-30,ZSFH,99998,188656.762155871
2010-08-31,ZSFH,99998,189236.404177066
2010-07-31,ZSFH,99998,189252.1866975
2010-06-30,ZSFH,99998,189209.473272489
2010-05-31,ZSFH,99998,188596.40113781
2010-04-30,ZSFH,99998,187802.402626073
2010-03-31,ZSFH,99998,187668.287325546
2010-02-28,ZSFH,99998,188357.279035521
2010-01-31,ZSFH,99998,189441.933053315
2009-12-31,ZSFH,99998,190870.174048299
2009-11-30,ZSFH,99998,191280.409339197
2009-10-31,ZSFH,99998,192170.775280502
2009-09-30,ZSFH,99998,193042.418490526
2009-08-31,ZSFH,99998,194507.814678177
2009-07-31,ZSFH,99998,196525.227237846
2009-06-30,ZSFH,99998,198142.200317988
2009-05-31,ZSFH,99998,199477.86504562
2009-04-30,ZSFH,99998,200395.467300048
2009-03-31,ZSFH,99998,200558.017574447
2009-02-28,ZSFH,99998,200940.637905565
2009-01-31,ZSFH,99998,200351.189803105
2008-12-31,ZSFH,99998,189779.0
2008-11-30,ZSFH,99998,191628.0
2008-10-31,ZSFH,99998,193158.0
2008-09-30,ZSFH,99998,192929.0
2008-08-31,ZSFH,99998,192752.0
2008-07-31,ZSFH,99998,192306.0
2008-06-30,ZSFH,99998,192355.0
2008-05-31,ZSFH,99998,193154.0
2008-04-30,ZSFH,99998,193273.0
2008-03-31,ZSFH,99998,194189.0
2008-02-29,ZSFH,99998,193707.0
2008-01-31,ZSFH,99998,193852.0
2007-12-31,ZSFH,99998,193742.0
2007-11-30,ZSFH,99998,193625.0
2007-10-31,ZSFH,99998,193201.0
2007-09-30,ZSFH,99998,193523.0
2007-08-31,ZSFH,99998,193830.0
2007-07-31,ZSFH,99998,194348.0
2007-06-30,ZSFH,99998,193906.0
2007-05-31,ZSFH,99998,193119.0
2007-04-30,ZSFH,99998,191318.0
2007-03-31,ZSFH,99998,189874.0
2007-02-28,ZSFH,99998,188522.0
2007-01-31,ZSFH,99998,187431.0
2006-12-31,ZSFH,99998,185582.0
2006-11-30,ZSFH,99998,183277.0
2006-10-31,ZSFH,99998,180541.0
2006-09-30,ZSFH,99998,177900.0
2006-08-31,ZSFH,99998,176678.0
2006-07-31,ZSFH,99998,176427.0
2006-06-30,ZSFH,99998,175571.0
2006-05-31,ZSFH,99998,172994.0
2006-04-30,ZSFH,99998,170344.0
2006-03-31,ZSFH,99998,167668.0
2006-02-28,ZSFH,99998,165442.0
2006-01-31,ZSFH,99998,162702.0
2005-12-31,ZSFH,99998,160948.0
2005-11-30,ZSFH,99998,159447.0
2005-10-31,ZSFH,99998,158513.0
2005-09-30,ZSFH,99998,157658.0
2005-08-31,ZSFH,99998,156047.0
2005-07-31,ZSFH,99998,153899.0
2005-06-30,ZSFH,99998,152600.0
2005-05-31,ZSFH,99998,152634.0
2005-04-30,ZSFH,99998,153370.0
2005-03-31,ZSFH,99998,154150.0
2005-02-28,ZSFH,99998,154467.0
2005-01-31,ZSFH,99998,155340.0
2022-02-28,ZSFH,99997,358088.0
2022-01-31,ZSFH,99997,353821.0
2021-12-31,ZSFH,99997,347393.0
2021-11-30,ZSFH,99997,343565.0
2021-10-31,ZSFH,99997,341212.0
2021-09-30,ZSFH,99997,337105.0
2021-08-31,ZSFH,99997,325363.0
2021-07-31,ZSFH,99997,317573.0
2021-06-30,ZSFH,99997,307204.0
2021-05-31,ZSFH,99997,304776.0
2021-04-30,ZSFH,99997,312272.0
2021-03-31,ZSFH,99997,316705.0
2021-02-28,ZSFH,99997,303909.0
2021-01-31,ZSFH,99997,306196.0
2020-12-31,ZSFH,99997,298951.0
2020-11-30,ZSFH,99997,293081.0
2020-10-31,ZSFH,99997,295995.0
2020-09-30,ZSFH,99997,299890.0
2020-08-31,ZSFH,99997,301682.0
2020-07-31,ZSFH,99997,284740.0
2020-06-30,ZSFH,99997,296682.0
2020-05-31,ZSFH,99997,289211.0
2020-04-30,ZSFH,99997,290721.0
2020-03-31,ZSFH,99997,291574.0
2020-02-29,ZSFH,99997,292572.0
2020-01-31,ZSFH,99997,292643.0
2019-12-31,ZSFH,99997,293197.0
2019-11-30,ZSFH,99997,291905.0
2019-10-31,ZSFH,99997,290949.0
2019-09-30,ZSFH,99997,289227.0
2019-08-31,ZSFH,99997,287519.0
2019-07-31,ZSFH,99997,285343.0
2019-06-30,ZSFH,99997,281579.0
2019-05-31,ZSFH,99997,278565.0
2019-04-30,ZSFH,99997,276179.0
2019-03-31,ZSFH,99997,274981.0
2019-02-28,ZSFH,99997,272581.0
2019-01-31,ZSFH,99997,270865.0
2018-12-31,ZSFH,99997,268621.0
2018-11-30,ZSFH,99997,267671.0
2018-10-31,ZSFH,99997,265982.0
2018-09-30,ZSFH,99997,264979.0
2018-08-31,ZSFH,99997,263582.0
2018-07-31,ZSFH,99997,263904.0
2018-06-30,ZSFH,99997,265633.0
2018-05-31,ZSFH,99997,265369.0
2018-04-30,ZSFH,99997,263607.0
2018-03-31,ZSFH,99997,260468.0
2018-02-28,ZSFH,99997,258140.0
2018-01-31,ZSFH,99997,255883.0
2017-12-31,ZSFH,99997,253146.0
2017-11-30,ZSFH,99997,251721.0
2017-10-31,ZSFH,99997,249891.0
2017-09-30,ZSFH,99997,248058.0
2017-08-31,ZSFH,99997,246292.0
2017-07-31,ZSFH,99997,243629.0
2017-06-30,ZSFH,99997,241339.0
2017-05-31,ZSFH,99997,238856.0
2017-04-30,ZSFH,99997,237041.0
2017-03-31,ZSFH,99997,234616.0
2017-02-28,ZSFH,99997,232718.0
2017-01-31,ZSFH,99997,230892.0
2016-12-31,ZSFH,99997,229001.0
2016-11-30,ZSFH,99997,226434.0
2016-10-31,ZSFH,99997,224685.0
2016-09-30,ZSFH,99997,222564.0
2016-08-31,ZSFH,99997,220526.0
2016-07-31,ZSFH,99997,217601.0
2016-06-30,ZSFH,99997,215252.0
2016-05-31,ZSFH,99997,213891.0
2016-04-30,ZSFH,99997,212577.0
2016-03-31,ZSFH,99997,212775.0
2016-02-29,ZSFH,99997,211513.0
2016-01-31,ZSFH,99997,210349.0
2015-12-31,ZSFH,99997,208236.0
2015-11-30,ZSFH,99997,205967.0
2015-10-31,ZSFH,99997,204205.0
2015-09-30,ZSFH,99997,203502.0
2015-08-31,ZSFH,99997,203001.0
2015-07-31,ZSFH,99997,202786.0
2015-06-30,ZSFH,99997,200590.0
2015-05-31,ZSFH,99997,197933.0
2015-04-30,ZSFH,99997,195142.0
2015-03-31,ZSFH,99997,192889.0
2015-02-28,ZSFH,99997,192088.0
2015-01-31,ZSFH,99997,190836.0
2014-12-31,ZSFH,99997,190184.0
2014-11-30,ZSFH,99997,189522.0
2014-10-31,ZSFH,99997,188164.0
2014-09-30,ZSFH,99997,186483.0
2014-08-31,ZSFH,99997,184590.0
2014-07-31,ZSFH,99997,183313.0
2014-06-30,ZSFH,99997,182996.0
2014-05-31,ZSFH,99997,182192.0
2014-04-30,ZSFH,99997,181955.0
2014-03-31,ZSFH,99997,180771.0
2014-02-28,ZSFH,99997,179841.0
2014-01-31,ZSFH,99997,178478.0
2013-12-31,ZSFH,99997,177337.0
2013-11-30,ZSFH,99997,176360.0
2013-10-31,ZSFH,99997,175552.0
2013-09-30,ZSFH,99997,175147.0
2013-08-31,ZSFH,99997,174625.0
2013-07-31,ZSFH,99997,173755.0
2013-06-30,ZSFH,99997,172282.0
2013-05-31,ZSFH,99997,171638.0
2013-04-30,ZSFH,99997,171105.0
2013-03-31,ZSFH,99997,170240.0
2013-02-28,ZSFH,99997,168264.0
2013-01-31,ZSFH,99997,167060.0
2012-12-31,ZSFH,99997,165841.0
2012-11-30,ZSFH,99997,165028.0
2012-10-31,ZSFH,99997,163751.0
2012-09-30,ZSFH,99997,162359.0
2012-08-31,ZSFH,99997,161232.0
2012-07-31,ZSFH,99997,160989.0
2012-06-30,ZSFH,99997,161450.0
2012-05-31,ZSFH,99997,161609.0
2012-04-30,ZSFH,99997,160321.0
2012-03-31,ZSFH,99997,160106.0
2012-02-29,ZSFH,99997,159703.0
2012-01-31,ZSFH,99997,160448.0
2011-12-31,ZSFH,99997,160415.0
