date,value
2022-02-28,611918.92715085
2022-01-31,601746.553918193
2021-12-31,592616.773027965
2021-11-30,585447.684167629
2021-10-31,577783.180275974
2021-09-30,570404.112680055
2021-08-31,561871.389286551
2021-07-31,552372.666667171
2021-06-30,539416.732292376
2021-05-31,526759.506438038
2021-04-30,513233.986335979
2021-03-31,502318.7505185
2021-02-28,493122.661814224
2021-01-31,483428.813615799
2020-12-31,473557.887989673
2020-11-30,462550.189694032
2020-10-31,452891.469171581
2020-09-30,445313.668673105
2020-08-31,440265.84736306
2020-07-31,437379.918692089
2020-06-30,434916.349450432
2020-05-31,430518.060076351
2020-04-30,424758.197753734
2020-03-31,419753.530338395
2020-02-29,417596.955924603
2020-01-31,415884.955167658
2019-12-31,413589.827090593
2019-11-30,410506.081940755
2019-10-31,409248.160280294
2019-09-30,409215.121127095
2019-08-31,408901.827348943
2019-07-31,407593.803857318
2019-06-30,405539.567420293
2019-05-31,403383.152633852
2019-04-30,400827.880976312
2019-03-31,398579.045331764
2019-02-28,397321.420112948
2019-01-31,396658.694930305
2018-12-31,396097.740246939
2018-11-30,394678.047555816
2018-10-31,393298.752126665
2018-09-30,391692.846472053
2018-08-31,389326.51309074
2018-07-31,385872.935462042
2018-06-30,381969.122991006
2018-05-31,378762.919484306
2018-04-30,375859.467908043
2018-03-31,373590.566807534
2018-02-28,371214.701112768
2018-01-31,368903.9527334
2017-12-31,366662.824443652
2017-11-30,365142.637528537
2017-10-31,362674.719470398
2017-09-30,359837.872377273
2017-08-31,355572.535224028
2017-07-31,351750.370680666
2017-06-30,348011.404016245
2017-05-31,345110.792294794
2017-04-30,342383.508683679
2017-03-31,338876.469355573
2017-02-28,336694.40908472
2017-01-31,335826.451216436
2016-12-31,335543.509181114
2016-11-30,334053.68883509
2016-10-31,332688.632927129
2016-09-30,331977.82393504
2016-08-31,332194.997352019
